BIB_REF|REFERENCE|DATE|VERIFIED|CISP_NOTES
Alcock/1987|Alcock, L. (1987). _Arthur's Britain. History and Archaeology AD 367--634_.  Harmondsworth.|1987|t|
Allan/1930|Allan, D. A. (1930). _Handbook and Guide to the Replicas and Casts of the Manx Crosses on exhibition in the Public Museums, Liverpool_. Liverpool.|1930|t|
Allen/1887|Allen, J. R. (1887). `The Early Christian Monuments of the Isle of Man.' _Journal of the British Archaeological Association_  ??:240--???|1887|f|volume/pages
Allen/1888|Allen, J. R.(1888). `Early Inscribed stones visited during the Llanwrst meeting.' _Archaeologia Cambrensis_ ??:176--178.|1888|t|Figures for Denbighshire stones, vol
Allen/Anderson/1903/III| Allen, J.R. and J. Anderson (1903) _The Early Christian Monuments of Scotland_, part III. Edinburgh: Society of Antiquaries of Scotland.|1903|t|KF
Allen/Westwood/1884|Allen, J. R. and J. O. Westwood (1884) `Discovery of Two Ogham Stones at Castell Villia, and Four Crosses at St Edren's, Pembrokeshire', _Archaeologia Cambrensis_ 0 series, 39, 46--52.|1884|f|series?
Anderson/1795|Anderson,  J. (1795). `Parish of Stronsay', _in_ Sinclair, J. (ed.) _Statistical Account of Scotland, 15_|1795|f|check!
Anderson/1845|Anderson, J. (1845). `Parish of Stoneykirk', _in_  _The New Statistical Account of Scotland, 4 (Wigton)_, pp. 162--7.|1845|f|n check
Anderson/1881|Anderson, J. (1881). _Scotland in Early Christian Times_ (second series) Edinburgh: David Douglas|1881|t|SDsecond series?? or edition?  or what?
ANDRS|Kermode, F. M.C.(1909--1910), 'Discvery of bilingual inscription at Knock-y-doonee, Andreas',||f|
Anon/1848|Anonymous (1848). Report.... blah..., _Archaeologia Cambrensis_ 3: ???--??|1848|f|complete
Anon/1854|Anon (1854). `Annual meeting---Report.' _Archaeologia Cambrensis_ 5: 239--240.|1854|t|
Anon/1859|Anonymous (1859). `Llannor Inscribed Stones---Caernarvonshire', _Archaeologia Cambrensis_ ??: 234|1859|f|get vol number
Anon/1875|Anon (1875). `Carmarthen Meeting---Report.'  _Archaeologia Cambrensis_ 30:387--430.|1875|t|LBOID/2
Anon/1876|Anonymous (1876). `Llannor Inscribed Stones', _Archaeologia Cambrensis_ 31: 313.|1876|t|pcopied
Anon/1877|Anonymous (1877).  `Carnarvon Meeting---Report', _Archaeologia Cambrensis_ 32: ??--??.|1877|f|get page refs
Anon/1878|Anon (1878). `Lampeter meeting---Annual Report.' _Archaeologia Cambrensis_ 33:319--54.|1878|t|Llanfihangel-ar-arth
Anon/1893|Anon (1893). `Meeting at Llandeilo-Fawr. Report of Proceedings' _Archaeologia Cambrensis_ 48: 129--178.|1893|t|Cynwyl Gaeo
Anon/1894|Anon (1894). `Oswestry meeting report.' _Archaeologia Cambrensis_ /49, inc....|1894|f|LHAIR stone
Anon/1898|Anon. (1898) `Haverfordwest Meeting---Annual Report.' _Archaeologia Cambrensis_ 53: 265--286.|1898|t|Votipor
Anon/1901|Anon. (1901) `Excursions. Wednesday, August 15th. - Excursion No.2. Llantrisant',_Archaeologia Cambrensis_ 56: 60--65.||f|
Anon/1903|Anonymous (1903). `Archaeological Notes and Queries', _Archaeologia Cambrensis 58: ??--???|1903|f|pcopied rel part, get pages
Anon/1904|Anonymous (1904). `Report of the Portmadoc Meeting', _Archaeologia Cambrensis_ 59: ???--???.|1904|f|pc part, get pages
Anon/1908|Anon (1908). `Sixty-first annual meeting: Anglesey.' _Archaeologia Cambrensis_ 8:65--109.|1908|t|
Anon/1912|Anon (1912)  `Report of the 65th Annual Meeting at Abergele.'  _Archaeologia Cambrensis_ 67: 109--143.|1912|f|Brohomagli stone illus
Anon/1919|Anon (1919). `A Previously unknown Romano-British Inscription.' _Carmarthenshire Antiquarian Society Transactions_ 13: vi.|1920|t|LSADY
Anon/1919a|Anon (1919).  `Inscribed Stones in the Society's Museum.'  _Carmarthenshire Antiquarian Society Transactions_ 13: nos. I--VI.|1919|f|
Anon/1919b|Anon (1919). `No III --- Llanfihangel Crosefeini, Newchurch.' _Carmarthenshire Antiquarian Society Transactions_ 13: 9.|1919|t|NEWCH/2
Anon/1919c|Anon (1919). `Inscribed Stones in the Society's Museum. No. 1 --- Llanwinio Ogam Stone.'  _Carmarthenshire Antiquarian Society Transactions_ 13: 2b.|1919|t|LWNIO, page 2b???
Anon/1922|Anon (1922). `Roman inscription, ``Talori'' Stone; flue tile; crushing stone.' _Carmarthenshire Antiquarian Society Transactions_ 15: 16b.|1922|f|Cynwyl Gaeo
Anon/1923|Anon (1923). `Report of the 77th annual meeting held at Oswestry, August 20th to 25th, 1923.'  _Archaeologia Cambrensis_ 79, 339--4??|1923|f|LHAIR stone and site, pages
Anon/1923b|Anon (1923). `Inscribed Stone.' _Carmarthenshire Antiquarian Society Transactions_ 16: iv.|1923|t|LSADY illustration.
Anon/1925|Anon (1925). `The Meeting at Llandeilo Fawr --- Annual Report.' _Archaeologia Cambrensis_ 80: inc|1925|t|LANEY/1 and ???
Anon/1926|Anon (1926) `Pwllheli---Report', _Archaeologia Cambrensis_ 81, 435--445.|1926|f|
Anon/1930|Anon (1930). `Report of the Annual meeting at Menai Bridge, Anglesey.' _Archaeologia Cambrensis_ 85: 438--484.|1930|t|
Anstis/nd|Anstis, J. (nd) BL MS Stowe 1023: 39/25.|0|t|Porthgwarra stone
Bagnall/etal/1987|Bagnall, R.S., Cameron, A., Swartz, S.R., Worp, K.A. (1987). _Consuls of the Later Roman Empire_. Atlanta.|1987|t|PMCH2/1
Baldwin/1985|Baldwin, J. R. (1985) _Exploring Scotland's Heritage: Lothian and the Borders._ RCAHMS, Edinburgh: HMSO.|1985|t|n
Barber/1981|Barber, J. (1981). `Excavations on Iona, 1979.' _Proceedings of the Society of Antiquaries of Scotland_ 111: 282--380.|1981|f|n
Bernier/1982|Bernier, G. (1982). _Les Chretientes Bretonnes Continentales_. Rennes.|1982|t|Many Breton stones.
Birley/1931|Birley, E. (1931). `An introduction to the excavation of Chesterholm-Vindolanda.' _Archaeologia Aeliana_ 4th series, 8: 182--212.|1931|t|
Bowman/1994|Bowman, A. (1994). _Life and Letters on the Roman Frontier._ London.|1994|t|Roman Vindolanda/Chesterholm.
Brash/1871|Brash, W. (1871). `On an inscribed stone at Penrhos Llugwy, Anglesey.' _Archaeologia Cambrensis_ 26: 266--270.|1871|t|
Brash/1873|Brash, R. R. (1873). `Inscribed stone of Wales.' _Archaeologia Cambrensis_ ??:285--287.|1873|t|British or Irish names.
Brash/1879|Brash, R. R. (1879) _The Ogam inscribed monuments of the Gaedhil in the British Isles._ London.||f|publ
Breese/1877|Breese, E. (1877). `Rees' lives of the Welsh Saints', Archaeologia Cambrensis 32: 72.|1877|t|pc'd
Breese/1925|Breese, E. (1925). `Meini Hirion on Tir Gwyn Farm in the Parish of Llanor', _Archaeologia Cambrensis_ 80: 385--387.|1925|t|copied
Brown/1921|Brown, G. B. (1921). _The Arts in Early England, 5, the Ruthwell and Bewcastle Crosses, the Gospels of Lindisfarne, and other Christian monuments in Northumbria._ London.|1921|f|n
Browne/1890|Browne, G. F. (1890). 'Ogams and Runes in Man.' _The Academy_, Oct. 18, no. 963, p. 343.|1890|t|KMICH and Arbory Oghams
Bruce/1889|Bruce, Dr. (1889). `A Christian inscription from Chesterholm.' _Archaeologia Aeliana_ 2nd series, 13: 367--371.|1889|t|
Bruce/1968|Bruce, J. R. (1968) _The Manx Archaeological Survey. Sixth Report 1966. Keeills and Burial Grounds in the Sheading of Rushen._ Glasgow:|1968|t|pub?
Buckley/1986|"Buckley, V.M. (1986) _Archaeological Inventory of County Louth_.  Dublin: Stationery Office. 

"||f|
Butler/1979|Butler, L. A. S. (1979). `The 'Monastic City in Wales: myth or reality?'  _Bulletin of the Board of Celtic Studies_ 28: 458--467.|1979|t|Llandeilo Fawr site.
Byrne/1973|Byrne, F. J. (1973) _Irish Kings and High-Kings_. London.|1973|t|Identification of Man Ogham.
Calder/Jackson/1957|Calder, W. and K. H. Jackson (1957). `An inscription from Altyre.' _Proceedings of the Society of Antiquaries of Scotland_ 90: 246--50.|1957|t|photo
Camden/Gibson/1695|Camden, William (1594) _Britannia ..._, ed. E. Gibson (1695), 1 vol., London.|1695|f|
Camden/Gough/1806|Camden, W. (1594) _Britannia..._, ed. R. Gough (1806), 4 vols., London.|1806|f|publ
