label_en	P1545_ciic	P1684
CIIC 1	1	LIE LUGUAEDON MACCI MENUEH
CIIC 2	2	QENUVEN...
CIIC 3	3	CUNALEGI AVI QUNACANOS
CIIC 4	4	LUGADDON MAQI LUGUDEC DDISI MO[...]CQU S(?)EL
CIIC 5	5	ALATTOS MAQI BR...
CIIC 6	6	QASIGN[i] MAQ[I]
CIIC 7	7	....MA]Q CERAN[I] AVI ATHECETAIMIN
CIIC 8	8	]OVI
CIIC 9	9	MAQ-ACTO MAQ GAR[... MAQI MUCOI Z]
CIIC 10	10	L[E]GG               SD[...]LEŋESCAD MAQ CORRBRI MAQ AMMLLOŋITT
CIIC 11	11	CUNOVATO
CIIC 12	12	VRAICCI MAQI MEDVVI
CIIC 13	13	QREGAS MU[...
CIIC 14	14	n/a
CIIC 15	15	RENI
CIIC 16	16	DUNAIDONAS MAQI MARIANI
CIIC 17	17	MUCOI MUCC[I
CIIC 18	18	S   B           N                   GL T  DM...
CIIC 19	19	OVANOS AVI IVACATTOS
CIIC 20	20	MAQI-DDECCEDA MAQI MARIN
CIIC 21	21	.....]MAQQI COLLABOTA
CIIC 22	22	...EGNI KOI MAQI MUC[OI] A[L]I[NI]
CIIC 23	23	AV*S*S*MAQV*S
CIIC 24	24	UR
CIIC 25	25	LA
CIIC 26	26	NETTAVRECC [KOI?] MAQI MUCCOI TRENALUGGO
CIIC 27	27	CNAEMSECH CELLACH MINODOR MUAD MAELMAIRE MAELUADAIG MALMAIRE
CIIC 28	28	TASEGAGNI [MAQ]I MUCOI MACORBO
CIIC 29	29	BRAN[I]TTAS M[A]QI DUCR[I]DDA
CIIC 30	30	NAVALLO AVVI GENITTAC[...
CIIC 31	31	DRUGNO MAQI MUCOI [....] NAMI
CIIC 32	32	MAQI-ERACIAS MAQI DIMAQA MUCO[I....
CIIC 33	33	n/a
CIIC 34	34	LOBBI KOI MAQQI MUCCOI RINI
CIIC 35	35	VIR...
CIIC 36	36	SEVERRIT [MAQI MUCOI RO]TTAIS
CIIC 37	37	DOVATUCI [A]VI TULOTANAGIA
CIIC 38	38	CORBI KOI MAQI LABRID [...
CIIC 39	39	BRANOGENI
CIIC 40	40	MAQI-CAIRATINI AVI INEQAGLAS
CIIC 41	41	COVAGNI MAQI MUCOI LUGUNI
CIIC 42	42	n/a
CIIC 43	43	LONAMNI AVI BARI
CIIC 44	44	IARNI
CIIC 45	45	n/a
CIIC 46	46	SEDAN[I MAQQI CAT]TABBOTT AVVI DERCMASOC
CIIC 47	47	NETA-CARI NETA CAGI
CIIC 48	48	IAQINI KOI MAQI MUC ....
CIIC 49	49	..CCI MAQ..INI..
CIIC 50	50	VOTI
CIIC 51	51	MAQI NILI
CIIC 52	52	n/a
CIIC 53	53	ATUCMLU
CIIC 54	54	[TH]URGRIM RISTI [KR]US THINA BENDACHT [AR] TOROQR[IM]
CIIC 55	55	ANM SAINA MAQ OGALA MUCOI TEMOCA
CIIC 56	56	SAGITTARI
CIIC 57	57	TRENU MAQI MUCOI QRITTI
CIIC 58	58	CATTUBUTTAS MAQ[...
CIIC 59	59	]UIVAIBES ]RTAGNI
CIIC 60	60	MAILAGN(I)
CIIC 61	61	OLAGNI MAQ[...
CIIC 62	62	DOCRANORI
CIIC 63	63	COLOMAGNI AVI DUCURI BRUSCO MAQI DOVALESCI
CIIC 64	64	LODIMONI
CIIC 65	65	LOGA MAQI SDANBI
CIIC 66	66	MAQI-DECCEDDAS AVI TURANIAS
CIIC 67	67	CARI
CIIC 68	68	LUGUQRIT [.........] LONAS
CIIC 69	69	GIRAGNI
CIIC 70	70	CUNAGUSOS MAQi MUCOI VIRAGNI
CIIC 71	71	COIMAGNI MAQI MOCOI GA...
CIIC 72	72	UBEDABO ALTASI
CIIC 73	73	DOMNGEN
CIIC 74	74	CONANN M[AQI] S...
CIIC 75	75	ANM CASONI [MAQ]I RODAGNI
CIIC 76	76	ANM TENAS MACi V[...
CIIC 77	77	n/a
CIIC 78	78	n/a
CIIC 79	79	ELUNA MU[C...
CIIC 80	80	[M]
CIIC 81	81	C[A]SSITT[A]S MAQI MUCOI CALLITI
CIIC 82	82	MAILAGURO MAQ[I...]VILEB[...
CIIC 83	83	LAMADILICCI MAC MAIL BROCC
CIIC 84	84	ERACOBI MAQI ERAQETAI
CIIC 85	85	GRILAGNI MAQI SCILAGNI
CIIC 86	86	CLIUCOANAS MAQI MAQI-RENI
CIIC 87	87	DRUTIQULI MAQI MAQI-RODAGNI
CIIC 88	88	BRANAN MAQI OQOLI
CIIC 89	89	BOGAI MAQI BIRACO
CIIC 90	90	CRONUN MAC BAIT
CIIC 91	91	BLATEGSI
CIIC 92	92	ACTI MAQI [.....MAGO.
CIIC 93	93	ERCAIDANA
CIIC 94	94	DOMMO MACI VEDUCERI
CIIC 95	95	NAM MEDDOGENI
CIIC 96	96	COVALOTI
CIIC 97	97	...]LL MAQI VORRTIGURN DOIBI
CIIC 98	98	CORBAGNI K[OI] M[A]Q[I] MOCCOI COROTANI
CIIC 99	99	SACATTINI
CIIC 100	100	AB ULCCAGNI
CIIC 101	101	MAQI-ESEA MAQI DOMANEQI
CIIC 102	102	DILOGONN
CIIC 103	103	CARRTTACC GAQI MU CAGG[I]
CIIC 104	104	ANM CORRE MAQVI UDD[GLO]METT
CIIC 105	105	ANM NETACUNAS CELI VIDETTAS
CIIC 106	106	[COLAB]OT MAQI MAQI-RITE [MAQI MU]COI CORIBIRI
CIIC 107	107	CUNAGUSSOS MA[...
CIIC 108	108	LUGUDUC MAQI MAQI-OC [...
CIIC 109	109	UDDMENSA CELI NETTASLOGI
CIIC 110	110	B..Q.....HAGA......DL
CIIC 111	111	LUDUDECA MAQU SI[TT?]ALI MUCOI M...
CIIC 112	112	MICANAVVI MAQ LUGUNI
CIIC 113	113	VEQIKAMI MAQI LUGUNI
CIIC 114	114	GRIMIGGN[I MAQ]I CERC...
CIIC 115	115	CULRIGAI MAQI MENUMAQ[I]
CIIC 116	116	BRANI MAQQI MUCC[OI......]R[A]L[...
CIIC 117	117	COLLOS
CIIC 118	118	VEQREQ MUCOI GLUNLEGGET TENREN MONOI GDUQDEGGEV
CIIC 119	119	DALAGNI MAQI DALI
CIIC 120	120	BROINIENAS KOI NETA TTRENALUGOS.
CIIC 121	121	VERGOSO MACI LLOMINACCA.
CIIC 122	122	MADORA MAQI DEGO
CIIC 123	123	MAQI-BRI.....CELI ALACA...
CIIC 124	124	ANAVLAMATTIAS MUCCOI [..]OELURI AVI AKERAS
CIIC 125	125	MAQI-ERCIAS MAQI VALAMNI
CIIC 126	126	VEDACUNA [MAQI] TOBIRA MUCOI SOGINI
CIIC 127	127	MAQILASPOG B TTMACDE
CIIC 128	128	DOVETI MAQI LOCARENAS CELI MAQI-CULIDOVI
CIIC 129	129	VEQOANAI MAQI EQOD[..
CIIC 130	130	SECIDARI
CIIC 131	131	LITUBIRI MAQI QECIA
CIIC 132	132	LACAVAGNI
CIIC 133	133	VAITEVIA
CIIC 134	134	ASSICONA
CIIC 135	135	MINNACCANNI MAQI AILLUATTAN
CIIC 136	136	CT[A]N ... QLOG
CIIC 137	137	ANM VEDLLOIGGOI MACI SEDDOINI
CIIC 138	138	LADDIGNI MAQQI MUCCOI AN...
CIIC 139	139	LAIDANN MAQI MACORBO
CIIC 140	140	LUGUVVECCA MAQI[...
CIIC 141	141	MAQI MQ[I-...O]GGODIKA.
CIIC 142	142	...] CELI AVI VU[..
CIIC 143	143	TAQMAQO
CIIC 144	144	DITAV
CIIC 145	145	QRIMITIR RON[A]NN MAQ COMOGANN
CIIC 146	146	LUGUQRIT MA[QI] QRITT[I]
CIIC 147	147	MOINENA MAQI OLACON
CIIC 148	148	DUBONIRRAS MAQQI TENAC[I]
CIIC 149	149	MQQI-QETTI MAQQI CUNITTI
CIIC 150	150	GRAVICAS MAQI MUCOI DOVVINIAS
CIIC 151	151	BROINIOAS
CIIC 152	152	LUBBAIS MAQQI DUN....S
CIIC 153	153	CCUCAMINI MAQQI CATTINI
CIIC 154	154	CUNAMAQQI CORBBI MAQQ[I MUCCOI DOVVINIA]S
CIIC 155	155	AKEVRITTI
CIIC 156	156	MAQQI-IARI KOI MAQQI MUCCOI DOVVINIAS
CIIC 157	157	DOVETI MAQQi CATTINI
CIIC 158	158	SUVALLOS MAQQI DUCOVAROS
CIIC 159	159	MAQI - DECCEDA MAQI GLASICONAS
CIIC 160	160	TRIA MAQA MAILAGNI CURCITTI
CIIC 161	161	INISSIONAS
CIIC 162	162	CUNAMAQQI AVI CORBBI
CIIC 163	163	NETTA-LAMINACCA KOI MAQQI MUCOI DOVIN[IA]S
CIIC 164	164	VOENACUNAS M....
CIIC 165	165	[D]DROGNO
CIIC 166	166	COIMAGNI MAQI VITALIN
CIIC 167	167	.. [MAQ]I DROGNO MU[COI] ...
CIIC 168	168	IRCCITOS
