latitude|longitude|altitude|geometry|macci|ciic|mac|lug|qen|avi|cuna|maq|maqi|alatto|alattos|qasign|ceran|acto|mucoi|cuno|medvvi|vraicci|catto|ivacattos|iva|cat|cattos|maqqi|koi|tren|netta|bran|drugno|vir|ver|dov|branogeni|ineqaglas|glas|covagni|bar|bari|iarni|dercmasoc|erc|neta|cari|anm|trenu|cattu|brusco|colomagni|dovalesci|giragni|viragni|coimagni|mocoi|moco|domngen|conann|cona|con|casoni|maci|brocc|bir|bait|cronun|erca|dommo|meddo|corbagni|corre|celi|cunas|cunagussos|dalagni|dali|dala|ttren|vergoso|dego|laddigni|laidann|corbbi|conas|glasiconas|curci|drogno|qeni|roddos|conu|brusccos|catu|brocann|gamicunas|degos|vorgos|battigni|cati|broci|gatteglan|mocu|baidagni|ritte|cattuvvirr|ivageni|ivo|daimagni|gosoctas|cunnetas|cata|catabar|moddagn|brocagni|magl
53.4855556|-9.316944444444443||Point|true|1|true|true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
53.8163889|-7.870555555555556||Point||2|||true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
53.7816667|-8.805000000000001||Point||3||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
53.7736111|-8.765555555555556||Point||4||true||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
53.8961111|-8.665277777777778||Point||5||||||true|true|true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
53.7286111|-8.709444444444443||Point||6||||||true||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
54.0744444|-9.08388888888889||Point||7||||true|||||||true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
53.7463889|-9.870000000000001||Point||8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
54.2602778|-9.330833333333333||Point||9||||||true|true|||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
54.2486111|-9.248055555555554||Point||10||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
53.84|-8.362222222222222||Point||11||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
53.8075|-8.297777777777778||Point||12||||||true|true||||||||true|true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
