ciic	count	lat	lon
1	1	53.4855556	-9.316944444444443
2	1	53.8163889	-7.870555555555556
3	1	53.7816667	-8.805000000000001
4	1	53.7736111	-8.765555555555556
5	1	53.8961111	-8.665277777777778
6	1	53.7286111	-8.709444444444443
7	1	54.0744444	-9.08388888888889
8	1	53.7463889	-9.870000000000001
9	1	54.2602778	-9.330833333333333
10	1	54.2486111	-9.248055555555554
11	1	53.84	-8.362222222222222
12,13	2	53.8075	-8.297777777777778
14	1	52.6316667	-6.956388888888889
15	1	52.8263889	-6.573611111111111
16	1	52.7819444	-6.716666666666667
17	1	52.8480556	-6.727222222222222
18	1	53.4197222	-6.152500000000001
19,20,21,22,23,24,25	7	53.0311111	-6.756388888888889
26	1	53.3752778	-6.551111111111111
27	1	52.76	-7.524444444444445
28	1	52.6513889	-7.150555555555556
29,30	2	52.6177778	-7.1722222222222225
31	1	52.5188889	-7.036388888888888
32	1	52.6325	-7.066111111111111
33	1	52.5425	-6.958055555555556
34	1	52.5386111	-7.158611111111111
35	1	52.5775	-7.121388888888888
36,37	2	52.4438889	-7.360833333333333
38	1	52.4719444	-7.231111111111111
39	1	53.845	-6.476666666666667
40	1	53.6733333	-6.559166666666666
41	1	53.7358333	-6.96
42	1	52.2505556	-6.720555555555555
43	1	52.1173	-6.6177
44	1	52.2152778	-6.4275
45	1	52.5436111	-6.530277777777778
46	1	52.1613889	-6.887777777777777
47	1	52.9091667	-6.063611111111111
48	1	53.0169444	-6.617777777777778
49	1	52.9663889	-6.624444444444445
50	1	53.9469444	-6.608888888888888
51	1	52.9980556	-6.535
52	1	53.0222222	-9.063611111111111
53	1	52.8463	-8.9807
54	1	52.8033333	-8.447777777777778
55	1	51.7330556	-9.28361111111111
56	1	52.0680556	-8.599444444444446
57,58	2	52.0811111	-8.601944444444444
59,60	2	52.0102778	-8.453333333333333
61	1	52.0086111	-8.360555555555555
62	1	51.9808333	-8.452777777777778
63,64	2	51.9694444	-8.175555555555555
65	1	52.0052778	-8.24611111111111
66	1	51.7122222	-9.935277777777777
67	1	51.6288889	-9.981666666666667
68	1	51.7275	-9.711944444444443
69,70,71	3	51.6788889	-8.846944444444444
72	1	51.7708333	-9.088055555555556
73,74	2	51.6883333	-8.95611111111111
75	1	51.7594444	-9.185833333333333
76	1	51.645	-8.893055555555556
77	1	51.5777778	-9.0125
78	1	51.9577778	-8.539722222222222
79,80	2	51.9772222	-8.075555555555555
81	1	51.8163889	-8.761666666666667
82,83,84,85,86,87,88,89,90,91,92,93,94,95,96	15	52.0269444	-8.071111111111112
97,98,99,100,101,102	6	51.8386111	-8.608333333333333
103	1	52.0158333	-8.818333333333333
104,105	2	51.9558333	-8.823888888888888
106	1	51.9408333	-8.887777777777778
107	1	51.9911111	-8.866111111111111
108	1	51.9875	-8.81
109	1	51.9855556	-8.789444444444444
110,111	2	51.9575	-8.83888888888889
112,113,114,115,116,117	3	51.8680556	-8.794722222222221
118,119,120,121	4	51.9744444	-8.779444444444445
122,123	2	51.9708333	-8.829444444444444
124,125,126	3	51.8866667	-8.784166666666666
127	1	51.9463889	-8.757222222222222
128	1	52.0075	-8.909166666666668
129	1	51.5086111	-9.02638888888889
130	1	52.0666667	-8.928055555555554
131,132,133	3	51.8494444	 -9.115
134	1	51.8283333	-9.228055555555555
135	1	51.9261111	-9.08388888888889
136	1	52.3288889	-9.772777777777778
137	1	52.3627778	-9.724166666666667
138,139,140	3	52.1294444	-10.17611111111111
141,142	2	52.1330556	-10.138055555555555
143	1	52.1591667	-10.063055555555556
