SITE|STONE|INSCRIPTIO|BIB_REF|PAGES|ILLUSTRATI|PHOTO|DRAWING|VALUE
ABCAR|1|1|Hubner/1876|19||no|yes|list
ABCAR|1|1|Macalister/1945|320--321||no|yes|cdisc
ABCAR|1|1|Nash-Williams/1950|69||yes|yes|cdisc
ABCAR|1|1|Rhys/1873|9||no|no|minor
ABCAR|1|1|Rhys/Wilkins/1886|93--96||no|yes|sdisc
ABCAR|2|1|Macalister/1945|321||no|yes|cdisc
ABCAR|2|1|Nash-Williams/1950|69||no|no|cdisc
ABCAR|2|1|Rhys/Wilkins/1886|94, 96||no|no|cdisc
ABHYD|1|1|Tomlin/1975|70--71||yes|yes|sdisc
ABHYD|1|2|Tomlin/1975|71--72||yes|yes|sdisc
ABNTY|1|1|Forsyth/1996|7--10||yes|yes|sdisc
ACKGL|1|1|Forsyth/1996|13--22||yes|yes|sdisc
ADARN|1|1|Anon/1926|442--443||no|no|other
ADARN|1|1|Huebner/1876|50||no|yes|list
ADARN|1|1|Jackson/1953|291||no|no|other
ADARN|1|1|Macalister/1928|306||yes|no|cdisc
ADARN|1|1|Macalister/1945|369||no|yes|cdisc
ADARN|1|1|Nash-Williams/1950|84, Plate VIII||yes|yes|cdisc
ADARN|1|1|Rhys/1873|10||no|no|minor
ADARN|1|1|Rhys/1918|182--183||no|no|other
ADARN|1|1|Westwood/1859|54--57||no|yes|cdisc
ADARN|1|1|Westwood/1876|178, pl. 80||no|yes|cdisc
ADARN|2|1|Anon/1926|442--444||yes|no|illus
ADARN|2|1|Jackson/1953|278, 291, 518||no|no|other
ADARN|2|1|Macalister/1928|306--307||yes|no|cdisc
ADARN|2|1|Macalister/1945|368--369||no|yes|cdisc
ADARN|2|1|Nash-Williams/1950|84, Plate VIII||yes|yes|sdisc
ADARN|2|1|Owen/1896|138||no|no|minor
ADARN|2|1|RCAHMW/1964|9||yes|no|illus
ADARN|2|1|Rhys/1873|10||no|no|cdisc
ADARN|2|1|Rhys/1905|92--93||no|no|sdisc
ADARN|2|1|Rhys/1918|183||no|no|cdisc
ADARN|2|1|Westwood/1859|54--56||no|yes|cdisc
ADARN|2|1|Westwood/1876|177--178||no|yes|cdisc
ADARN|2|2|Anon/1926|442--443||yes|no|illus
ADARN|2|2|Huebner/1876|50||no|yes|list
ADARN|2|2|Macalister/1928|306--307||yes|no|cdisc
ADARN|2|2|Macalister/1945|368--369||no|yes|cdisc
ADARN|2|2|Nash-Williams/1950|84, Plate VIII||yes|yes|sdisc
ADARN|2|2|Rhys/1873|10||no|no|minor
ADARN|2|2|Rhys/1905|92--93||no|no|cdisc
ADARN|2|2|Rhys/1918|183||no|no|other
ADARN|2|2|Westwood/1859|54--56||no|yes|cdisc
ADARN|2|2|Westwood/1876|178||no|yes|cdisc
AGHAL|1|1|Gippert/Web|Ogham 9||yes|yes|sdisc
AGHAL|1|1|Macalister/1945|12--13|drawing|no|yes|cdisc
AGHAL|1|1|Ziegler/1994|253||no|no|other
AGHAS|1|1|Macalister/1945|305||no|yes|cdisc
AGHAS|1|1|McManus/1991|108||no|no|minor
AGHIB|1|1|Cuppage/etal/1986|103||no|no|cdisc
AGHIB|1|1|Macalister/1897|20--22||no|no|cdisc
AGHIB|1|1|Macalister/1945|135--136||no|yes|cdisc
AGHIB|2|1|Cuppage/etal/1986|104||no|no|cdisc
AGHIB|2|1|Macalister/1897|22--23||no|no|cdisc
AGHIB|2|1|Macalister/1945|136||no|yes|cdisc
AGHIB|3|1|Cuppage/etal/1986|104||no|no|cdisc
AGHIB|3|1|Macalister/1897|23--24||no|no|minor
AGHIB|3|1|Macalister/1945|136--137||no|yes|cdisc
AGLIS|1|1|Macalister/1897|24--27||no|no|minor
AGLIS|1|1|Macalister/1945|137--138||no|yes|cdisc
AGLIS|2|1|Cuppage/etal/1986|258||no|no|cdisc
AGLIS|2|1|Macalister/1897|24||no|yes|cdisc
AGLIS|2|1|Macalister/1945|138--139||no|yes|cdisc
AGWIL|1|1|Macalister/1945|341|no|no|no|sdisc
AGWIL|1|1|Nash-Williams/1950|107|yes|no|yes|cdisc
AGWIL|1|1|Rhys/1877b|137|no|no|no|minor
AGWIL|1|1|Westwood/1879|85|yes|no|yes|sdisc
AGWIL|2|1|Owen/1896|||no|no|
AHLIS|1|1|Gippert/Web|Ogham 69||yes|yes|cdisc
AHLIS|1|1|Macalister/1907|55--56||no|yes|minor
AHLIS|1|1|Macalister/1945|73||no|yes|cdisc
AHLIS|2|1|Gippert/Web|Ogham 70||no|yes|cdisc
AHLIS|2|1|Macalister/1907|56--57||no|yes|cdisc
AHLIS|2|1|Macalister/1945|73--74||no|yes|cdisc
AHLIS|3|1|Gippert/Web|Ogham 71||yes|yes|cdisc
AHLIS|3|1|Macalister/1907|57--58||no|yes|list
AHLIS|3|1|Macalister/1945|75||no|yes|cdisc
ALTYR|1|1|Forsyth/1996|29--40||no|yes|sdisc
AMORE|1|1|Macalister/1907|172--178||no|yes|sdisc
AMORE|1|1|Macalister/1945|258--260||yes|yes|cdisc
AMORE|1|1|McManus/1991|61||no|no|read
AMORE|2|1|Macalister/1907|178||no|yes|minor
AMORE|2|1|Macalister/1945|260||no|yes|cdisc
AMORE|3|1|Macalister/1907|178||no|yes|minor
AMORE|3|1|Macalister/1945|260||no|yes|cdisc
ANDRS|1|1|Cubbon/1982|259|no|no|no|read
ANDRS|1|1|Jackson/1953|173, 187, 509, 621, 623, 645|no|no|no|sdisc
