SITE|STONE|INSCRIPTIO|DOUBTFUL|INCOMPLETE|CONDITION|LEGIBILITY|SECONDARY|ORIENTATIO|NO_LINES|POSITION1|POSITION2|POSITION3|POSITION4|POSITION|INCISION|TECHNIQUE|NAMES|LANGUAGE|LING_NOTES|CARVE_ERR|SCRIPT|LETTER_HEI|PALEO_NOTE|id
BAHAN|6|3|t|f|inc||f|vind|1|n/a|arris|inc|undecorated||inc|||goide||n|ogham|||BAHAN/6/3
BAKIL|2|1|f|t|some||f|mix|3|n/a|broad|mixed|separated||inc||1|goide||n|rbook|||BAKIL/2/1
BRMOU|1|1|f|f|inc||f|ind||inc|inc|inc|inc||inc|||ind||0|inc|||BRMOU/1/1
LHADN|2|1|f|t|n/a||f|n/a|1|n/a|n/a|n/a|undecorated|unk|inc|||latin||n|rcaps|||LHADN/2/1
LHAML|1|1|f|t|some||f|verd|1|n/a|narrow|n/a|other|"Rhys/1905, 71: `The first word is separated from the rest by a groove...''. 

Macalister/1949, 137: `The inscription is cut on the sinister edge of the stone.  It is divided into two parts by a line [see LHAML/1/2] that should have been more carefully observed than it has been by some decipherers''."|inc|Nash-Williams/1950, 77: `...rudely picked'.|1|name|"Westwood/1876, 68, n.1: `The present Bishop of St. David''s, the Very Rev. W. Basil Jones, at the Meeting of the Cambrian Archaeological Association at Brecon in 1853, objected to my explanation of the word `johannis,'' and noticed the difficulty of the double name `Johannis Moridic'' occurring at so early a period, suggesting that the original inscription ran thus_'' Pro salute Johannis,'' &c. I know nowhere of such a formula having been adopted in Wales. Would it not rather have been `Orate pro anima johannis,''&c. But(1) the letters are too old for such a formula; (2) the word is clearly a nominative in conjunction with Moridic; (3) the nominative Johannis, froni the Greek [Greek .... ] (with [nu] to distinguish it from the spelling with the short penultimate Greek letter [epsilon],) was in common use in our early MSS.; and (4) the neighbouring Llanfrynach stone shows a similar form of the name.''

Rhys, following Westwood, sees this inscription and LHAML/1/2 as one, but Macalister and Nash-Williams read it as two (Rhys/1905, 71--2, cf. Macalister/1922, 206, Macalister/1949, 137 and Nash-Williams/1950, 77). Rhys also examines the metre of the inscription."|n|rbook||"Westwood/1876, 68: `The letters of this inscription are of an early character, resembling those generally termed Anglo-Saxon uncials and minuscules.''

Macalister/1922, 206: `A fracture precedes the _Iohannis_ ; and the engraver has been at pains to separate this word from _Moridic_ by a long space and by a stroke extending across the whole of the inscribed field.  In short, Iohannes and Moridic were the names of two different persons, not the two names of one person.  The lost portion may have contained _Pro salute_, or _Orate pro anima_, or perhaps more probably, _NN filius_.  It is impossible to tell.''  Macalister repeats the information in _CIIC_ (Macalister/1949, 137).

Nash-Williams/1950, 77: `round half uncials''."|LHAML/1/1
LHAML|1|2|f|f|some||f|verd|2|n/|narrow|n/a|other|Macalister/1949, 137: `The inscription is cut on the sinister edge of the stone.  It is divided into two parts by a line [see LHAML/1/2] that should have been more carefully observed than it has been by some decipherers'.|inc|Nash-Williams/1950, 77: `rudely picked'.|1|latin|"Westwood/1876, 68: `The term surexit used instead of crexit, and the word lapidem instead of crucem, are also to be noticed[1].

`[1] ... The present Bishop of St. David''s, the Very Rev. W. Basil Jones, at the Meeting of the Cambrian Archaeological Association at Brecon in 1853, objected to my explanation of the word `johannis,'' and noticed the difficulty of the double name `Johannis Moridic'' occurring at so early a period, suggesting that the original inscription ran thus_'' Pro salute Johannis,'' &c. I know nowhere of such a formula having been adopted in Wales. Would it not rather have been `Orate pro anima johannis,''&c? But (1) the letters are too old for such a formula; (2) the word is clearly a nominative in conjunction with Moridic; (3) the nominative Johannis, froni the Greek [Greek .... ] (with [nu] to distinguish it from the spelling with the short penultimate Greek letter [epsilon],) was in common use in our early MSS.; and (4) the neighbouring Llanfrynach stone shows a similar form of the name.''

Nash-Williams/1950, 77: `The formula used ... appears again in Nos. 35 and 253.''

Rhys/1905, 71: `Needless to say, _surrexit_ ought to have been _erexit_, as on the Llangaffo stone ... '' Rhys goes on to examine the metre of the inscription.

Rhys, following Westwood, sees this inscription and LHAML/1/1 as one, but Macalister and Nash-Williams read it as two (Rhys/1905, 71--2, cf. Macalister/1922, 206, Macalister/1949, 137 and Nash-Williams/1950, 77).

Macalister/1949, 137: ` ...  which, as Basil Jones and Rhys have independently noticed, is a literal translation from Welsh, in which the word _cyfododd_ could mean either ``rose'''' intransitively, or ``raised'''' transitively.''"|n|rbook||"Westwood/1876, 68: `The letters of this inscription are of an early character, resembling those generally termed Anglo-Saxon uncials and minuscules. The R is of the [open R] shape, the S Roman, the D and T uncials, the remainder being Roman minuscules. Such letters indicate a date prior to the introduction of the Gothic angulated letters by the Normans in the twelfth and thirteenth centuries''.

Macalister/1922, 206: `A fracture precedes the _Iohannis_ ; and the engraver has been at pains to separate this word from _Moridic_ by a long space and by a stroke extending across the whole of the inscribed field.  In short, Iohannes and Moridic were the names of two different persons, not the two names of one person.  The lost portion may have contained _Pro salute_, or _Orate pro anima_, or perhaps more probably, _NN filius_.  It is impossible to tell.''  Macalister repeats this information in _CIIC_ (Macalister/1949, 137).

Nash-Williams/1950, 77: `Round half-uncials ...The D''s with closed loop and sharply inclined stem are a characteristic Irish form (cf. No. 125).''"|LHAML/1/2
LHANE|1|1|f|f|inc||f|inc|1|inc|inc|n/a|undecorated|Power/etal/1997, 169: `Inscription on this stone was visible when lintel in place'.|inc||1|inc||i|ogham|||LHANE/1/1
LHANE|2|1|f|f|inc||f|inc|1|inc|inc|n/a|undecorated|Power/etal/1997, 169: `Inscription on this stone was hidden when lintel in place'.|inc||1|goide||i|ogham|||LHANE/2/1
LHERN|1|1|f|f|good|Okasha/1993, 132, `Text... is complete and legible'.|f|horz|4|n/a|broad|n/a|panel|Okasha/1993, 133, `incised without framing lines but in a panel on the face of the stone at the bottom of the shaft'.|inc||2|inc|If the expansions of Macalister/1949, 178, are correct the language of the inscription is Latin. However, Okasha.1993, 136, is uncertain of how to render the text.|0|rbook|85|"Okasha/1993, 133, `predominantly insular script''.

Langdon/1896, 358--359, `an inscription, in mixed capitals and miniscules, of Hiberno-Saxon character''."|LHERN/1/1
LHERN|1|2|f|f|good|Okasha/1993, 133--134, `The text is complete and legible'.|f|horz|2|n/a|broad|n/a|panel|Okasha/1993, 133, `in a panel'.|inc||1|name|See also the Sancreed 4 cross (SCRED/4).|n|rbook|80|Okasha/1993, 134, `predominantly insular script'.|LHERN/1/2
