SITE|STONE|INSCRIPTIO|READING|BIB_REF|PAGES|VALUE
ABCAR|1|1|1|Macalister/1945|320--321|read
ABCAR|1|1|2|Nash-Williams/1950|69|cdisc
ABCAR|1|1|3|Rhys/Wilkins/1886|95|cdisc
ABCAR|2|1|1|Macalister/1945|1945|list
ABCAR|2|1|2|Nash-Williams/1950|69|cdisc
ABCAR|2|1|3|Wilkins/Rhys/1886|96|cdisc
ABHYD|1|1|1|Tomlin/1975|70|sdisc
ABHYD|1|2|1|Tomlin/1975|71--2|sdisc
ABNTY|1|1|1|Forsyth/1996|8|read
ACKGL|1|1|1|Forsyth/1996|17|read
ACKGL|1|1|2|Forsyth/1996|17|read
ADARN|1|1|1|Westwood/1859|55--56|read
ADARN|1|1|2|Rhys/1873|10|read
ADARN|1|1|3|Macalister/1945|369|read
ADARN|1|1|4|Nash-Williams/1950|84|cdisc
ADARN|1|1|5|Huebner/1876|50|read
ADARN|2|1|1|Westwood/1859|54--56|cdisc
ADARN|2|1|2|Huebner/1876|50|read
ADARN|2|1|3|Rhys/1873|10|read
ADARN|2|1|3|Rhys/1905|92|read
ADARN|2|1|3|Rhys/1918|183|read
ADARN|2|1|4|Macalister/1945|368--369|cdisc
ADARN|2|1|5|Nash-Williams/1950|85|cdisc
ADARN|2|2|1|Westwood/1859|56|cdisc
ADARN|2|2|1|Westwood/1876|178|read
ADARN|2|2|2|Rhys/1873|10|read
ADARN|2|2|2|Rhys/1905|93|read
ADARN|2|2|2|Rhys/1918|183|read
ADARN|2|2|3|Macalister/1945|369|read
ADARN|2|2|4|Nash-Williams/1950|84|read
AGHAL|1|1|1|Gippert/Web|9|read
AGHAL|1|1|2|Ziegler/1994|253|read
AGHAL|1|1|3|Macalister/1945|13|read
AGHAS|1|1|1|Macalister/1945|305|read
AGHIB|1|1|1|Macalister/1945|135--136|read
AGHIB|1|1|1|Ziegler/1994|263|read
AGHIB|1|1|2|Macalister/1897|20--22|read
AGHIB|2|1|1|Cuppage/etal/1986|103|read
AGHIB|2|1|1|Macalister/1945|136|read
