SITE|STONE|INSCRIPTIO|READING|BY_WHOM|WHEN|TEXT|LING_NOTES|id
AUTAG|1|1|2|Macalister, R.A.S.|1945|ODUDBOLDSE||AUTAG/1/1-2
BISCV|1|1|3|Thomas, C.|1994|ALRORON||BISCV/1/1-3
BREAS|1|1|3|||||BREAS/1/1-3
CLMAC|26|1|3|Petrie, G.|1822|TET[--]||CLMAC/26/1-3
FCHRW|1|1|3|RCAHMW|1976|[R]EFSOIHI||FCHRW/1/1-3
KMKDR|1|1|2|Cuppage|1986|DNE||KMKDR/1/1-2
MTDFL|1|1|5|RCAHMW|1976|ARTBEU||MTDFL/1/1-5
ABCAR|1|1|1|Macalister, R.A.S.|1945|".]N/NICCIFIL/IVS | .]ICI{A}CITTECVRIINHOCTVMVLO"||ABCAR/1/1-1
ABCAR|1|1|2|Nash-Williams, V.E.|1950|".]NNICCIFIL/IVS | .]ICI{A}CITTECVRIINHOCTVMVLO"||ABCAR/1/1-2
ABCAR|1|1|3|Rhys, J.|1885|"[.]NNICCIFIL/IVS | [.]ICIACIT{SE}CVRIINHOCTVMVLO"||ABCAR/1/1-3
ABCAR|2|1|1|Macalister, R.A.S.|1945|--[.]ETAFILI[--||ABCAR/2/1-1
ABCAR|2|1|2|Nash-Williams, V.E.|1950|.]ETAFILI[--||ABCAR/2/1-2
ABCAR|2|1|3|Rhys, J.|1886|--]ETAFILI[--||ABCAR/2/1-3
ABHYD|1|1|1|Tomlin. R.S.O.|1975|"[..]CIVS | [...]VS: | [..]AV[R] | [.A]NVS[--"||ABHYD/1/1-1
ABHYD|1|2|1|Tomlin, R. S. O.|1974|TARI[C]OR[O]||ABHYD/1/2-1
ABNTY|1|1|1|Forsyth, K.|1996|--]QMI[--||ABNTY/1/1-1
ACKGL|1|1|1|Forsyth, K.|1996|NEHTETRI[--||ACKGL/1/1-1
ACKGL|1|1|2|Forsyth, K.|1996|NEHTETRE[B/M]||ACKGL/1/1-2
ADARN|1|1|1|Westwood, J.O.|1859|"M/ER{A}CIVS | PB~R~ | HIC | I{A}CIT"||ADARN/1/1-1
ADARN|1|1|2|Rhys, J.|1873|"VER{A}CIVS | PB~R~ | HIC | I{A}CIT"||ADARN/1/1-2
ADARN|1|1|3|Macalister, R.A.S.|1945|"VER{A}CIVS | P~B~R~ | HIC | I{A}CIT"||ADARN/1/1-3
ADARN|1|1|4|Nash-Williams, V.E.|1950|"VER{A}CIVS | PB~R~ | HIC | I{A}CIT"||ADARN/1/1-4
ADARN|1|1|5|Huebner, E.|1876|"VER{A}CIVS | PB~R | HIC | I{A}CIT"||ADARN/1/1-5
ADARN|2|1|1|Westwood, J.O.|1859|"SENACVS | PR~S~B | HICI{A}CIT | C/V/M/M/V/LTITV | DN/EM | FR{A}TRV/M"||ADARN/2/1-1
ADARN|2|1|2|Huebner, E.|1876|"SENACVS | PR~S~B | HICI{A}CIT | C/V/M/M/V/LTITV | DN/EM | FR{A}TRV/M"||ADARN/2/1-2
ADARN|2|1|3|Rhys, J.|1873|"SENACVS | PR~S~B | HICI{A}CIT | C/V/M/M/V/LTITV | DN/EM | FR{A}TRV/M"||ADARN/2/1-3
ADARN|2|1|4|Macalister, R.A.S.|1945|"SENACVS | P~R~S~B~ | HICI{A}CIT | C/V/M/M/V/LTITV | DN/EM | FR{A}TRV/M"||ADARN/2/1-4
ADARN|2|1|5|Nash-Williams, V.E.|1950|"SENACVS | PR~S~B | HICI{A}CIT | CV/MM/V/LTITV | DN/EM | FRATRV/M"||ADARN/2/1-5
ADARN|2|2|1|Westwood, J.O.|1859|FRE ET[--||ADARN/2/2-1
ADARN|2|2|2|Rhys, J.|1873|PRESPITER||ADARN/2/2-2
ADARN|2|2|3|Macalister, R.A.S.|1945|PRESBTER||ADARN/2/2-3
ADARN|2|2|4|Nash-Williams, V.E.|1950|PRESB[IT]E[R]||ADARN/2/2-4
AGHAL|1|1|1|Gippert, J.|1996|"--][Q][--][AAMQMARO][--
"||AGHAL/1/1-1
AGHAL|1|1|2|Ziegler, S.|1994|MAQACTOMAQGAR||AGHAL/1/1-2
