"SITE"|"NAME"|"CEL_NAME"|"PLACE"|"CEL_PLACE"|"PARISH"|"CEL_PARISH"|"COUNTY"|"CEL_COUNTY"|"COUNTRY"|"HEIGHTOD"|"SITE_TYPE"|"SITE_DESCR"|"SITE_HISTO"|"Site Address"|"grid"|"easting"|"northing"|"lat"|"lon"
"ABCAR"|"Abercar"|"inc"|"Abercar"|"inc"|"Abercar"|"inc"|"Brecknockshire"|"Brycheiniog"|"Wales"|NULL|"modsc"|"Westwood/1858, 162: `...an ox-stall or beast-house on the west side of the road from Brecon to Merthyr, about 100 yards north from the thirteenth mile-stone from the former place.  The adjoining farm-house abuts on the turnpike road, on the south side of a small rivulet, and a long barn and cow-house adjoining are on the north side of a small brook which crosses the road.'

Rhys/Wilkins/1886, 93--4: `...a beast-house at Abercar farm, on the Brecon road, six miles from Merthyr...There are remains of a building near Abercar farm, which is said by tradition to have been a chapel.  No examination of the heap of stones seems to have been made'.

Rhys/Wilkins/1886, 96: `The other stone is important [ABCAR/2], as seeming to prove that the burial-place to which both it and the other [ABCAR/1] belonged was at Abercar.'

A `beast house' on the road from Brecon to Merthyr Tydfil (Nash-Williams/1950, 69)."|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"ABHYD"|"Aberhydfer"|"inc"|"Trecastle"|"inc"|"Trecastle"|"inc"|"Brecknockshire"|"Brycheiniog"|"Wales"|NULL|"modsc"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"ABNTY"|"Abernethy"|"inc"|"Abernethy"|"inc"|NULL|"inc"|"Perthshire"|"inc"|"Scotland"|NULL|"eccle"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"ACKGL"|"Ackergill"|"inc"|"Ackergill"|"inc"|"Wick"|"inc"|"Caithness"|"inc"|"Scotland"|NULL|"cemet"|"Forsyth/1996, 11: `...the north-west corner end of a long mound near Ackergill Tower in the parish of Wick, Caithness'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"ADARN"|"Chapel Anelog"|"Capel Angelog"|"Gors Farm"|"inc"|"Aberdaron"|"inc"|"Caernarvonshire"|"Caernarfon"|"Wales"|NULL|"eccle"|"The site of these stones is mentioned in the handwritten notes of Lewis Morris, an 18th-century antiquary BM Add. MSS 14907, fol. 184) published by Owen (Owen/1896).  Morris states: `In the ruins of Capel Angelog, in the parish of Aberdaron, in Lleyn... Some call it Capel-y-Verach neu [or] [CISP _sic_] Aberâch---Capel Berach... ' (Owen/1896, 138).

The chapel is possibly the same site as mentioned in Gough's _Camden_ cited by Huebner: `In _Capel Yverack_ in _Aberdaron, Caernarvonshire,_ cippium inscriptum extare, cuius tamen titulum non adscripsit, affirmat_. Gough's _Camden_ 3, p. 186' (Huebner/1876, 50).

Westwood/1859, 53, `Mr Wynne states that they were brought from a small farm on his estate, called Gors, between Cefn Amwlch and Aberdaron, and that they stood in what is supposed to have been the burial-ground of an old church, the site of which is still discernible [CISP _sic_].  About fifteen years ago the tenant was going to bring the spot into cultivation, and the stones were then removed, for safety, to their present resting-place.  Mr. Wynne conjectures that this church may not improbably have been one of a chain of similar buildings which were erected along the ancient route to Bardsey from Bangor, through Caernarvon, Clynnog, Llanaelhaiarn, &c.  This supposition appears well founded, for either the stones may have been primarily erected and inscribed there, or may have been brought thither from Bardsey itself after the dissolution of the monastery.  The line of the road for pilgrims to the Isle of Saints went most probably through Nevin and Tudweiliog; but whether it thence proceeded through Meyllteyrn, Bryncroes, and Aberdaron, to the eastward of Mynydd Cefn Amwlch and Rhos Hirwaen, or else to the westward of those hills, by the sea-coast, through Llangwnadl and Bodferin to Eglwys Fair, at the extreme point of the promontory, is not quite certain.  The farm of Gors (_query_, Glan-y-Gors?) lies near Bodwrdda and Ffynnon Ddurdan, described in _Arch. Camb._, First series, iv, p. 208, and is near the former of these two lines of road.'

This discussion in largely repeated verbatim in Westwood/1876, 177.

Nash-Williams appears to see a contradiction in the accounts of Westwood and Lewis, but there seems to be no reason for this (Nash-Williams/1936, 72).

Anon/1926, 444: `They had come from the site of the old chapel of Anelog, near Aberdaron, which Lewis called Capel y Verach;  he would hesitate greatly to connect this last name with the Veracius of the stone, which in modern Welsh would yield something quite different.  On the other hand, he had the authority of Sir John Morris Jones for associating Senacus and Bryn Hynog, a name found in the locality [about 1 mile N.W.W. of Pwllheli].

`Mr Hemp quoted a note made by the late Col. Wynne Finch and dated April 2, 1899, in which he said...`some ten years ago I went over [the farm called ``Gors''] and looked carefully for any stones like these, and inquired from the tenant but he knew of none nor could I see any likely stones.  When these stones were first brought here, I remember them well, and also remember hearing that there were other stones then on the spot with inscriptions on them, but that the others were all either broken or so defaced that these two were the only stones worth bringing away.''

`Mr Edward Owen, F.S.A., said that in one of the British Museum MSS. are a number of sketches and rough drawings made by or for Edward Lhuyd (d. 1709)...The really important information given in Lhuyd's sketch consists of the remark that the stones were then `At Kappell Yverach in Aberdaron parish in Llin.'  This is no doubt intended for Capel y Verach, and the chapel is one of those that are known to have stood near Aberdaron (as the jumping-off place for Bardsey), and was probably the foundation of the Veracius who is commemorated on the first of the inscribed stones.'

Macalister/1928, 306--307: `...it is noteworthy that Lewis Morris has left a note to the effect that in his time the stone lay in a place called Capel Berach...The other stone commemorates another presbyter, Senacus, who has appareantly given his name to a local hill, Bryn Hynog; he is said in his epitaph to lie there `with a multitude of his brethren.'  We can hardly fail to see in this, the record of an otherwise unrecorded massacre'.

RCAHMW/1964, 3, no. 1460: `Capel Anelog.  The site locally identified as that of the chapel from which the inscribed stones (No. 1479) were taken to Cefnamwlch lies just E. of the modern road near Gors at about 200 ft. above O.D. All that remains is the robber-trench from which the foundations have been removed, outlining the E. end of a rectangular building about 12 ft. wide.  Traces of other buildings occur about 50 yds. to the N.'"|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"AGHAL"|"Aghaleague"|"Aghaleague"|"Aghaleague"|"Aghaleague"|"Tirawley"|"inc"|"Mayo"|"inc"|"Ireland"|"788"|"lands"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"AGHAS"|"Aghascrebagh"|"inc"|"Aghascrebagh"|"inc"|"Upper Strabane"|"inc"|"Tyrone"|"inc"|"Ireland"|NULL|"inc"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"AGHIB"|"Aghacarrible"|"Aghacarrible"|"Aghacarrible"|"Aghacarrible"|"Corkaguiney"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"soutn"|"Macalister/1945, 135: `...the souterrain of a ringfort at the side of a rough, narrow mountain road leading from the hamlet of Kinard to Doonties'. 

Cuppage/etal/1986, 103: `This rath and souterrain are located on a N facing slope overlooking the Lispole valley...The souterrain lies in the approximate centre of the enclosure'. "|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"AGLIS"|"Aglish"|"Aglish"|"Aglish"|"Aglish"|"Corkaguiney"|"inc"|"Kerry"|"inc"|"Ireland"|NULL|"cemet"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
"AGWIL"|"Pant Deuddwr"|"Pant Deuddwr"|"Abergwili"|"Abergwili"|"Abergwili"|"Abergwili"|"Carmarthenshire"|"Caerfyrddin"|"Wales"|NULL|"eccle"|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
