SITE|BIB_REF|PAGES|ILLUSTRATE|PHOTO|DRAWING|MAP|VALUE
ABCAR|Macalister/1945|319||no|no|no|minor
ABCAR|Nash-Williams/1950|69||no|no|no|minor
ABCAR|Rhys/Wilkins/1886|93--94||no|no|no|cdisc
ABCAR|Westwood/1858|162||no|no|no|cdisc
ABHYD|Tomlin/1975|69--70||no|no|no|cdisc
ABNTY|Forsyth/1996|2--4||no|no|yes|sdisc
ACKGL|Forsyth/1996|11--13||no|no|yes|cdisc
ADARN|Anon/1926|444||no|no|no|cdisc
ADARN|Camden/Gough/1806|vol. 3, 186||no|no|no|other
ADARN|Huebner/1876|50||no|no|no|cdisc
ADARN|Macalister/1928|306--307||no|no|no|cdisc
ADARN|Macalister/1945|368||no|no|no|cdisc
ADARN|Macalister/1949|72||no|no|no|other
ADARN|Nash-Williams/1950|84||no|no|no|list
ADARN|Owen/1896|138||no|no|no|cdisc
ADARN|RCAHMW/1964|1461||no|no|no|cdisc
ADARN|Westwood/1859|53||no|no|no|sdisc
ADARN|Westwood/1876|177||no|no|no|sdisc
AGHAL|Macalister/1945|12--13|drawing|no|yes|no|cdisc
AGHAS|Macalister/1945|305||no|no|no|minor
AGHIB|Cuppage/etal/1986|103||no|no|yes|cdisc
AGHIB|Macalister/1945|135||no|no|no|cdisc
AGLIS|Macalister/1945|137||no|no|no|cdisc
AGWIL|Macalister/1945|341||no|no|no|minor
AHLIS|Macalister/1945|73||no|no|no|sdisc
ALTYR|Forsyth/1996|23--27||no|yes|yes|read
AMORE|Macalister/1907|172---173||no|no|no|cdisc
AMORE|Macalister/1945|257--258||no|no|no|cdisc
ANDRS|Cubbon/1982|259||no|no|no|minor
ANDRS|Kermode/1910-1911|437--450||no|no|no|cdisc
ANDRS|Kermode/1911|23--39|yes|yes|no|no|sdisc
ANDRS|Kermode/1911-1912|B14||no|no|no|cdisc
ANDRS|Kermode/1927|100--101|inc|inc|inc|inc|sdisc
ANDRS|Kermode/1927-28|241--246|inc|inc|inc|inc|sdisc
ANDRS|Kermode/1930|126--133|inc|inc|inc|inc|sdisc
ANDRS|Kermode/1994|6, 15||no|no|no|cdisc
ANGAP|Cuppage/etal/1986|259--261||no|no|yes|cdisc
ANGAP|Macalister/1945|139||no|no|no|cdisc
ANSCL|McManus/1991|72||no|no|no|cdisc
ARBRY|Bruce/1968|38--40|no|no|no|yes|sdisc
ARBRY|Kermode/1907|99--100|No|no|no|no|inc
ARBRY|Kermode/1910-1911|437--450|No|no|no|no|minor
ARBRY|Rhys/Browne/1891|38|No|no|no|no|minor
ARDCT|Macalister/1945|241||no|no|no|minor
ARDFE|Macalister/1945|132--133||no|no|no|cdisc
ARDNE|Macalister/1945|139--140||no|no|no|cdisc
ARFYN|Edwards/1986|21, 31--34|no|no|no|yes|sdisc
ARFYN|White/1971-72|19-51|yes|yes|no|no|sdisc
ARRAG|Cuppage/etal/1986|248--250, Fig. 137, Plate 11||yes|no|no|cdisc
ARRAG|Macalister/1945|140--141||no|no|no|cdisc
ATHLO|Macalister/1949|78||no|no|no|cdisc
AUQUH|Forsyth/1996|41||no|no|yes|sdisc
AUTAG|Macalister/1945|75--77||no|no|no|cdisc
AYWAG|Macalister/1945|242||no|no|no|cdisc
BABOR|Macalister/1945|62--63||no|no|no|cdisc
BAGLN|RCHAMW/1973|43||no|no|no|other
BAGLN|Rhys/1873|7--8||no|no|no|minor
BAGLN|Westwood/1851|145||no|no|no|cdisc
BAHAN|Macalister/1945|92--94||no|no|no|cdisc
BAKIL|Macalister/1949|195||no|no|no|minor
BAKNK|Macalister/1907|107--108||no|no|no|cdisc
BAKNK|Macalister/1945|85--86||yes|no|no|cdisc
BALBA|McManus/1991|76||no|no|no|cdisc
BALBO|Macalister/1945|42--43||no|no|no|cdisc
BALBR|Macalister/1949|197, Plate LXVI||no|yes|no|cdisc
BALBR|McManus/1991|68||no|no|no|minor
BALEE|Macalister/1945|142--143||no|no|no|cdisc
BALGH|Macalister/1945|47--48||no|no|no|cdisc
BALGH|Moore/1996|13||no|no|yes|other
BALIG|Cuppage/etal/1986|250||no|no|yes|cdisc
BALIG|Macalister/1945|144--145||no|no|no|cdisc
BARDS|Nash-Williams/1950|86||no|no|no|minor
BARDS|RCAHMW/1964|17--19||yes|yes|yes|sdisc
BARHA|Macalister/1907|123--124||no|no|no|minor
BARHA|Macalister/1945|102--103||no|no|no|cdisc
BARM1|ONeil/1932|105||no|no|no|other
BAROG|Buckley/1986|20, 125||no|no|yes|cdisc
BAROG|Macalister/1945|44||no|yes|no|cdisc
BAVEL|Macalister/1945|291||no|no|no|minor
BAWGL|Macalister/1945|243||no|no|no|minor
BAYEL|Macalister/1945|252--253||no|no|no|minor
BCARE|Macalister/1945|54||no|no|no|cdisc
BDAFN|Owen/1896|138||no|no|no|cdisc
BDAFN|RCAHMW/1956|115||no|no|no|cdisc
BDREN|Cuppage/etal/1986|252--253||no|no|no|minor
BDREN|Macalister/1902|23--24||no|no|no|minor
BDREN|Macalister/1945|160--161||no|no|no|cdisc
BENBR|McManus/1991|75||no|no|no|minor
BGARR|Macalister/1945|253||no|no|no|cdisc
BGLAS|Macalister/1945|53--54||no|no|no|minor
BHILL|Macalister/1902|50--51||no|no|no|minor
BHILL|Macalister/1945|243--244||no|no|no|cdisc
BIISL|Gippert/Web|Ogham 61||no|no|no|cdisc
BIISL|Macalister/1945|65||no|no|no|minor
BIRSY|Forsyth/1996|69--74||no|no|yes|sdisc
BISCV|Macalister/1949|183|none|no|no|no|minor
