SITE|STONE|BIB_REF|PAGES|ILLUSTRATI|PHOTO|MAP|DRAWING|VALUE
ABCAR|1|Anon/1901|61||no|no|yes|minor
ABCAR|1|Huebner/1876|19||no|no|yes|list
ABCAR|1|Macalister/1945|319--20||no|no|yes|cdisc
ABCAR|1|Nash-Williams/1950|69--70, Plate VII||yes|no|yes|cdisc
ABCAR|1|Rhys/1873|9||no|no|no|cdisc
ABCAR|1|Rhys/Wilkins/1886|93--95,end plate||no|no|yes|cdisc
ABCAR|1|Westwood/1876|64, pl. 36||no|no|yes|cdisc
ABCAR|2|Anon/1901|62||no|no|no|minor
ABCAR|2|Macalister/1945|322||no|no|no|minor
ABCAR|2|Nash-Williams/1950|69||no|no|no|minor
ABCAR|2|Rhys/Wilkins/1886|94--96||no|no|no|cdisc
ABHYD|1|Tomlin/1975|68--70||yes|no|yes|sdisc
ABNTY|1|Forsyth/1996|2--10||yes|no|yes|sdisc
ACKGL|1|Forsyth/1996|13--22||yes|yes|yes|sdisc
ADARN|1|Huebner/1876|50||no|no|yes|list
ADARN|1|Macalister/1928|306||yes|no|no|illus
ADARN|1|Macalister/1945|368--369||no|no|yes|cdisc
ADARN|1|Nash-Williams/1936|72||no|no|no|other
ADARN|1|Nash-Williams/1950|84, Plate 8||yes|no|no|list
ADARN|1|RCAHMW/1964|9, Plate 7||yes|no|no|cdisc
ADARN|1|Rhys/1873|10||no|no|no|minor
ADARN|1|Rhys/1918|182||no|no|no|minor
ADARN|1|Westwood/1859|53--55||no|no|yes|cdisc
ADARN|1|Westwood/1876|177, Plate 180||no|no|yes|cdisc
ADARN|2|Anon/1926|442--443||yes|no|no|illus
ADARN|2|Huebner/1876|50||no|no|yes|list
ADARN|2|Macalister/1928|306||yes|no|no|illus
ADARN|2|Macalister/1945|368||no|no|yes|list
ADARN|2|Nash-Williams/1950|84, plate VIII||yes|no|no|cdisc
ADARN|2|Owen/1896|138||no|no|no|other
ADARN|2|RCAHMW/1964|9||yes|no|no|cdisc
ADARN|2|Westwood/1859|53--55||no|no|yes|cdisc
ADARN|2|Westwood/1876|177, pl. 80||no|no|yes|cdisc
AGHAL|1|Gippert/Web|Ogham 9||yes|no|no|sdisc
AGHAL|1|Macalister/1919|34|||||
AGHAL|1|Macalister/1945|12--13|drawing|no|no|yes|cdisc
AGHAS|1|Macalister/1945|305||no|no|yes|cdisc
AGHIB|1|Brash/1879|236--237||no|no|no|cdisc
AGHIB|1|Cuppage/etal/1986|104--105||no|no|no|minor
AGHIB|1|Macalister/1897|20--22||no|no|no|sdisc
AGHIB|1|Macalister/1945|135--136||no|no|yes|cdisc
AGHIB|2|Cuppage/etal/1986|103||no|yes|inc|minor
AGHIB|2|Macalister/1897|22--23||no|no|no|minor
AGHIB|2|Macalister/1945|136||no|no|yes|cdisc
AGHIB|3|Cuppage/etal/1986|104||no|yes|no|minor
AGHIB|3|Macalister/1897|23--24||no|no|no|cdisc
AGHIB|3|Macalister/1945|136--137||no|no|no|cdisc
AGLIS|1|Cuppage/etal/1986|258--259, Plate 17, Fig. 142||yes|no|yes|cdisc
AGLIS|1|Macalister/1897|24--27||no|no|no|sdisc
AGLIS|1|Macalister/1945|137--138||no|no|yes|cdisc
AGLIS|2|Cuppage/etal/1986|258--259||no|no|no|minor
AGLIS|2|Macalister/1897|24||no|no|no|cdisc
AGLIS|2|Macalister/1945|138--139||no|no|yes|cdisc
AGWIL|1|Macalister/1922|22|no|no|no|no|cdisc
AGWIL|1|Macalister/1945|341|no|no|no|no|sdisc
AGWIL|1|Nash-Williams/1950|107, Plate X|Plate X|no|no|yes|illus
AGWIL|1|Rhys/1877b|137--138|no|no|no|no|minor
AGWIL|1|Roberts/1876|236|no|no|no|no|minor
AGWIL|1|Westwood/1879|85, Plate XLV, Fig. 1|yes|no|no|yes|sdisc
AGWIL|2|Owen/1896|13||no|no|no|cdisc
AHLIS|1|Gippert/Web|Ogham 69||yes|no|yes|sdisc
AHLIS|1|Macalister/1907|55--56||no|no|no|cdisc
AHLIS|1|Macalister/1945|73||no|no|no|cdisc
AHLIS|2|Gippert/Web|Ogham 70||no|no|yes|sdisc
AHLIS|2|Macalister/1907|56--57||no|no|no|cdisc
AHLIS|2|Macalister/1945|73--74||no|no|yes|cdisc
AHLIS|3|Gippert/Web|Ogham 71||yes|no|yes|cdisc
AHLIS|3|Macalister/1907|57--58||no|no|no|cdisc
AHLIS|3|Macalister/1945|75||no|no|yes|cdisc
ALTYR|1|Forsyth/1996|27--28||no|no|yes|cdisc
AMORE|1|Macalister/1907|172--178||no|no|no|sdisc
AMORE|1|Macalister/1945|258--260||yes|no|yes|cdisc
AMORE|2|Macalister/1907|178||no|no|no|cdisc
AMORE|2|Macalister/1945|260||no|no|yes|cdisc
AMORE|3|Macalister/1907|178||no|no|no|cdisc
AMORE|3|Macalister/1945|260||no|no|yes|cdisc
ANDRS|1|Cubbon/1982|259|no|no|no|no|minor
ANDRS|1|Jackson/1953|173, 187, 509, 621, 623, 645|no|no|no|no|sdisc
ANDRS|1|Kermode/1909--1910|411--413|yes|inc|inc|inc|cdisc
ANDRS|1|Kermode/1910-1911|447-450|yes|yes|no|yes|cdisc
ANDRS|1|Kermode/1929|167--178|yes|inc|inc|inc|sdisc
ANDRS|1|Kermode/1994|Appendix A, 6--8||yes|no|no|sdisc
ANDRS|1|Macalister/1945|479--480|yes|no|no|yes|sdisc
ANDRS|1|McManus/1991|61, 97, 113|no|no|yes|no|sdisc
ANDRS|1|Thomas/1971|58|no|no|no|no|other
ANGAP|1|Macalister/1945|139||no|no|yes|cdisc
ANSCL|1|McManus/1991|72||no|no|no|cdisc
ARBRY|1|Bruce/1968|39||no|no|no|sdisc
ARBRY|1|Kermode/1907|99||no|no|no|sdisc
ARBRY|1|Kermode/1910-1911|438||no|no|yes|cdisc
ARBRY|1|Laing/1975|plate 23A|yes|yes|no|no|illus
ARBRY|1|Macalister/1902|135||no|no|no|cdisc
ARBRY|1|Macalister/1945|480--481||no|no|yes|cdisc
ARBRY|1|Rhys/1886b|94|no|no|no|no|cdisc
ARBRY|1|Rhys/Browne/1891|38|yes|no|no|yes|cdisc
ARBRY|2|Bruce/1968|39||no|no|no|cdisc
ARBRY|2|Kermode/1907|73--74, 100|yes|no|no|yes|read
ARBRY|2|Kermode/1910-1911|437--438|yes|no|no|yes|read
ARBRY|2|Macalister/1945|480|yes|no|no|yes|read
ARBRY|2|Rhys/1886b|94|yes|no|no|no|cdisc
ARBRY|2|Rhys/Browne/1891|38|yes|no|no|yes|illus
ARDCT|1|Macalister/1945|241||no|no|no|cdisc
ARDCT|2|Macalister/1945|241--242, frontispiece||yes|no|yes|cdisc
ARDFE|1|Macalister/1945|132--133||no|no|yes|cdisc
ARDNE|1|Cuppage/etal/1986|248||no|no|no|cdisc
ARDNE|1|Macalister/1945|139--140||no|no|yes|cdisc
ARFYN|1|White/1971-72|33--35|yes|yes|no|no|sdisc
ARRAG|1|Cuppage/etal/1986|248--250||yes|no|yes|cdisc
ARRAG|1|Macalister/1945|140--141||no|no|yes|cdisc
ARRAG|2|Cuppage/etal/1986|248||no|no|no|list
ARRAG|2|Macalister/1945|141||no|no|yes|cdisc
ATHLO|1|Macalister/1949|78||no|no|no|cdisc
AUQUH|1|Forsyth/1996|41--54||yes|no|yes|sdisc
AUTAG|1|Macalister/1945|75--77||no|no|yes|cdisc
AYWAG|1|Brash/1879|213||no|no|yes|cdisc
AYWAG|1|Macalister/1902|50||no|no|no|cdisc
AYWAG|1|Macalister/1945|242--243||no|no|yes|cdisc
BABOR|1|Macalister/1907|90--96||no|no|yes|sdisc
BABOR|1|Macalister/1945|63--64||no|no|yes|cdisc
BABOR|2|Macalister/1907|96||no|no|yes|cdisc
BABOR|2|Macalister/1945|62--64||no|no|yes|cdisc
BAGLN|1|Huebner/1876|27||no|no|no|list
BAGLN|1|Macalister/1949|152, Plate LIII||no|no|yes|cdisc
BAGLN|1|Nash-Williams/1950|130, Plate LI||yes|no|no|cdisc
BAGLN|1|RCHAMW/1976|43, pl. 5(a)||yes|no|no|cdisc
BAGLN|1|Redknap/1991|55, 72||yes|no|yes|cdisc
BAGLN|1|Rhys/1873|8||no|no|no|minor
