SITE|STONE|DISC_CIRC|DISC_WHEN|DISC_WHO|SUBSQ_HIST|CURRENT_SE|CURRENT_LO|LOC_NOTES|MON_FORM|FORM_NOTES|COMPLETENE|PRESERVATI|PRESCONDNO|M_SOURCE|M_HEIGHT|M_HT_STATU|M_WIDTH|M_WDTH_STA|M_THICKNES|M_THCK_STA|I_SOURCE|I_HT_FEET|I_HT_INCHE|I_HT_STATU|I_WD_FEET|I_WD_INCHE|I_WDTH_STA|I_TH_FEET|I_TH_INCHE|I_THCK_STA|STONE_TYPE|NO_CARVED|DECOR_NOTE|VISITED|id
ABNTY|1|recognised|1890|Marr, Mr.|Forsyth/1996, 2, `discovered in 1890 by a Mr Marr of Abernethy...according to Romilly Allen it was found in the ancient churchyard...Dr Alexander Laing of Newburgh-on-Tay presented the stone to the National Antiquities Museum on 9 May 1892'.|in display|museum|Forsyth/1996, 2, states that the stone is now in the National Museum of Antiquities (NMS Cat. No. IB 98).|ind||frgmntry|good|Forsyth/1996, 4, `...fragmentary but otherwise in good condition'.|Forsyth/1996|0.36|actual|0.23|actual|0.07|actual|converted|1|2.25|actual|0|9|actual|0|2.75|actual||1|Forsyth/1996, 4, `...carved in relief on one face with the lower parts of two equine legs and a raised band'.|f|ABNTY/1
TOURP|16|arch excav|1909|Prof. M.V. Duigan||inc|inc||ind|Macalister/1949, 213, notes of TOURP/9 to TOURP/31 that they are all, `...fragmentary slabs of sandstone'. |frgmntry|inc||converted||inc||inc||inc|Macalister/1949|||inc|||inc|||inc||0||f|TOURP/16
ARDCT|1|first mentioned|1945|Tralee Field Club||on ground|earliest||slbns|Macalister/1945, 241, `...a rectangular slab'.|incomplete|poor|Macalister/1945, 241: '...the bottom of the slab is lost, as well as about half of the inscribed edge of the surviving portion'. |converted||n/a||n/a||n/a|Macalister/1945|||n/a|||n/a|||n/a||0||f|ARDCT/1
BAHAN|2|first mentioned|1843|Windele, J.||in display|museum|Macalister/1945, 92--93, records the removal of all ogham stones from their original location in the Ballyhank souterrain, and that `in 1849 Windele removed the remaining stones to his own residence...now in the Academy's collection'. |slbns||inc|inc||Power/etal/1997|0.9|actual|0.4|actual|0.2|actual|converted|2|11.5|actual|1|3.75|actual|0|7.75|actual||0||f|BAHAN/2
CLMAC|3|first mentioned|1909|R.A.S. Macalister|"Macalister/1909, 1, `I cannot find it in Petrie; it might be part of his No. 52''.

Recorded as still on site in Macalister/1949, 43."|inc|on site||ind||frgmntry|poor||converted|0.25|actual|0.22|actual|0.06|actual|Macalister/1949|0|10|actual|0|8.5|actual|0|2.5|actual||0||f|CLMAC/3
BALBA|1|first mentioned|1991|McManus, D.|McManus/1991, 76: `found in a souterrain in Ballybarrack, Co. Louth, this stone is now in the National Museum in Dublin'.|in display|museum|McManus/1991, 76: `Found in a souterrain in Ballybarrack, Co. Louth, this stone is now in the National Museum, Dublin'. |pilsp||incomplete|some|McManus/1991, 76: `The top has been broken off, probably as part of the appropriation for use in the souterrain'. |McManus/1991||n/a||n/a||n/a|converted|||n/a|||n/a|||n/a||0||f|BALBA/1
BAROG|1|first mentioned|1916|J. Dolan||in ground|earliest||pilsp||complete|inc||converted|2.59|actual||inc||inc|Macalister/1945|8|6|actual|0||inc|0||inc||||f|BAROG/1
BCARE|1|first mentioned|1945|Price, L.|Macalister/1945, 54: `Discovered by Mr. L. Price, D.J., in the rampart of the ring-fort of this townland called Crossoona'.|in ground|earliest|Macalister/1949, 54: `...in the rampart of the ring-fort on this townland called Crossoona'. |pilsp||complete|good||converted|0.76|actual||inc||inc|Macalister/1945|2|6|actual||0|inc||0|inc||0||f|BCARE/1
BENBR|1|first mentioned|1991|Phelan, M.||unattch|other|McManus/1991, 75: `...this stone is now standing...beside the round tower in the graveyard at Tullaherin'. |pilsp||inc|inc||McManus/1991|1.56|actual|0.51|actual|0.26|actual|converted|5|1.5|actual|1|8|actual|0|10.25|actual||0||f|BENBR/1
TOURP|17|arch excav|1909|Prof. M.V. Duigan||inc|inc||slbcr|"Macalister/1949, 213, notes of TOURP/9 to TOURP/31that they are all, `...fragmentary slabs of sandstone''.
"|frgmntry|poor||converted||inc||inc||inc|Macalister/1949|||inc|||inc|||inc||1||f|TOURP/17
BIRSY|2|first mentioned|1962|Ralegh-Radford, C.||inc|lost|Forsyth/1996, 75, notes that both BIRSY/1 and BIRSY/2  disappeared  when in the care of the Department of the Environment. |slbns|Forsyth/1996, 81, cites Padel that this is a `very irregular slab'. |complete|some|Forsyth/1996, 81--82: `Badly weathered'. |converted||actual||actual||actual|Forsyth/1996||14.5|actual||9.5|actual||2|actual||0||f|BIRSY/2
BLFOO|1|recognised|1968|Steer, K.||n/a|earliest|Forsyth/1996, 94: `...the left-hand wall of the cave'. |ncave||inc|some|Forsyth/1996, 93--94, gives an account of the variety of carving and its condition on the cave walls of Blackwaterfoot, noting that the large amount of modern graffiti `may obscure older work'. |Forsyth/1996||n/a||n/a||n/a|converted|||n/a|||n/a|||n/a||0||f|BLFOO/1
CLMAC|4|first mentioned|1901|R.A.S. Macalister|"Macalister/1909, 2, is the first record of the stone, and he states that he `failed to find this fragment on my last visit''.

Macalister/1949, 43, records the stone without giving any information as to its location."|inc|lost||ind||frgmntry|poor||converted||n/a||n/a||n/a|Macalister/1949|||n/a|||n/a|||n/a||0||f|CLMAC/4
BQUIN|1|first mentioned|1844|Oldham|Macalister/1945, 292, cites an article by Oldham in 1844 as the first recording of the stone. He also states that it was `standing by the gate of a field beside the road, a short distance due south of `Piggot's Cross'.|in ground|on site|Macalister/1945, 292, states that it was `standing by the gate of a field beside the road, a short distance due south of `Piggot's Cross'.|pilsp||complete|good|Macalister/1945, 292, speaks of some weathering of the stone.|converted|2.34|actual|0.91|actual|0.48|actual|Macalister/1945|7|8|actual|3|0|actual|1|7|actual||0||f|BQUIN/1
BRHGW|1|first mentioned|1872|S. Ferguson||in struct|on site|Macalister/1949, `This stone has been moved to a house called The Neale, near Ballinrobe, where it decorates the orchard wall'. |slbns||complete|good||converted|0.41|visible|0.34|visible||n/a|Macalister/1949|1|4.25|visible|1|1.5|visible|||n/a||0||f|BRHGW/1
BUKIL|1|||||||||||||||||||||||||||||||||f|BUKIL/1
CBURG|4|first mentioned|1883|R. Cogle||lost|lost|Forsyth/1996, 206--207, records trheb confusion of the existence of this fragmentary stone, allegedly found by R. Cogle in the mid-1870s. She concludes that `the fourth was not donated to the NMS, and is now lost'. |inc||frgmntry|inc||Forsyth/1996||n/a||n/a||n/a|converted|||n/a|||n/a|||n/a||0||f|CBURG/4
CHEIL|1|first mentioned|1710|inc|Macalister/1945, 308: `This stone stood among the ruins [of the old chapel], and one Richard Evan attempted to appropriate it, with other stones, for building material.  He was, however, stricken with blindness, a visitation, as he himself seems to have believed, for the act of sacrilege.  Lewis Morris describes the monument as `a soft stone, which sometime stood on end, ye top now broke off' .'|lost|lost||pilsp||incomplete|n/a|Morris/1896, 140, notes that the top is fractured away. |converted||inc||inc||inc|Macalister/1945|||inc|||inc|||inc||0||f|CHEIL/1
CLMAC|5|first mentioned|1869|Rev. J. Graves|"Petrie/1872, `This drawing was made by Miss Boxwell from a rubbing taken of the stone at Clonmacnois by the Rev. James Graves and Mr. Williams Hennessy, in the year 1869''.

Recorded as still on site in Macalister/1949, 43.
"|inc|on site||slbns||complete|good||converted|0.48|actual|0.48|actual|0.66|actual|Macalister/1949|1|7|actual|1|7|actual|2|2|actual||0||f|CLMAC/5
CLMAC|6|first mentioned|1872|J. Graves|"Petrie/1872, 46, `Drawn by M[argaret] S[tokes] from a rubbing tkane by the Rev. James Graves and Mr Hennessy''.

Macalister/1949, 43, records the stone as still on site."|inc|on site||ind||incomplete|poor||converted|0.25|actual|0.29|actual|0.03|actual|Macalister/1949|0|10|actual|0|11.5|actual|0|1.25|actual||0||f|CLMAC/6
CLMAC|7|first mentioned|1909|R.A.S. Macalister|First recorded in Macalister/1909, 2, and again, as still on site in Macalister/1949, 43.|inc|on site||ind||frgmntry|poor||converted|0.25|actual|0.18|actual|0.67|actual|Macalister/1949|0|10|actual|0|7|actual|2|2.25|actual||0||f|CLMAC/7
BAHAN|3|first mentioned|1843|Windele, J.||in display|museum|Macalister/1945, 92--93, records the removal of all ogham stones from their original location in the Ballyhank souterrain, `one of these was purchased from the local farmer by F. M. Jennings in 1846, and presented by him to the Royal Irish Academy (PRIA 3: 213, without any statement of provenance): in 1849 Windele removed the remaining stones to his own residence. All six are now re-united in the Academy's collection'. |pilsp||incomplete|some|Macalister/1945, 96: `...the top angle has been battered'. |Power/etal/1997|1.2|actual|0.5|actual|0.25|actual|converted|3|11.25|actual|1|7.75|actual|0|9.75|actual||0||f|BAHAN/3
TOURP|18|arch excav|1909|Prof. M.V. Duigan||inc|inc||slbcr|"Macalister/1949, 213, notes of TOURP/9 to TOURP/31 that they are all, `...fragmentary slabs of sandstone''.
"|frgmntry|poor||converted||inc||inc||inc|Macalister/1949|||inc|||inc|||inc||1|It is unclear from Macalister's comments whether the cross present on this stone is textual or decorative. |f|TOURP/18
CLMAC|77|first mentioned|1909|R.A.S. Macalister|"First recorded in Macalister/1909, 21.

Recorded as still on site in Macalister/1949, 50."|inc|on site||slbcr||frgmntry|some|Only a fragment of this stone remains containing the two upper quadrants of the cross and possibly three letters.|converted|0.42|actual|0.23|actual|0.1|actual|Macalister/1949|1|4.5|actual|0|9|actual|0|4|actual||1|"Macalister/1909, 21, `top of plain Celtic cross with invecked angles at the intersection''.

Macalister/1949, 50, `top of wheel cross''."|f|CLMAC/77
TOURP|19|arch excav|1909|Prof. M.V. Duigan||inc|inc||slbcr|"Macalister/1949, 213, notes of TOURP/9 to TOURP/31that they are all, `...fragmentary slabs of sandstone''.
"|frgmntry|poor||converted||inc||inc||inc|Macalister/1949|||inc|||inc|||inc||1||f|TOURP/19
