SITE|STONE|INSCRIPTIO|READING|EXPAND_ID|EXPANSION|TRANSLATIO
ABCAR|1|1|1|1|[A]NNICCI FILIVS TECVRI [H]IC IACIT IN HOC TVMVLO|n/a
ABCAR|1|1|2|1|[A]NNICCI FILIVS [H]IC IACIT TECVRI IN HOC TVMVLO|(The stone of ) Anniccius (PN), son of Tecurus (PN).  He lies here in this tomb.
ABCAR|1|1|3|1|[A]NNICCI FILIVS [H]IC IACIT SECVRI IN HOC TVMVLO|n/a
ABCAR|2|1|1|1|--]ETA FILI[--|n/a
ABCAR|2|1|2|1|[P]ETA FILI[--|Peta (PN) daughter (of So-and-so, lies here).
ABCAR|2|1|3|1|[M]ETA FILI[--|n/a
ABHYD|1|1|1|1|[LU]CIVS [FILI]VS [T]AVR[I]ANVS [HIC IACIT]|Lucius (PN), the son of Taurianus (PN), lies here.
ABHYD|1|2|1|1|TARICORO|(Stone) of Taricoris (or -us)(PN).
ABNTY|1|1|1|1|--]QMI[--|n/a
ACKGL|1|1|1|1|NEHTETRI[--|n/a
ACKGL|1|1|2|1|NEHTETRE[B/M]|n/a
ADARN|1|1|1|1|MERACIVS PBR HIC IACIT|n/a
ADARN|1|1|2|1|VERACIVS PBR HIC IACIT|n/a
ADARN|1|1|3|1|VERACIVS PBR HIC IACIT|n/a
ADARN|1|1|4|1|VERACIVS PRESBYTER HIC IACIT|Veracius(PN) the Priest lies here.
ADARN|1|1|5|1|VERACIVS P[RES]B[YTE]R HIC IACIT|n/a
ADARN|2|1|1|1|SENACVS PRESBYTER HIC IACIT CVM MVLTIVDINEM FRATRVM|n/a
ADARN|2|1|2|1|SENACVS PR[E]SB[YTER] HIC IACIT CVM MVLTIVD[I]NEM FRATRVM|n/a
ADARN|2|1|3|1|SENACVS PR[E]SB[YTER] HIC IACIT CVM MVLTIVD[I]NEM FRATRVM|The priest Senacus(PN) lies here with many of the brethren.
ADARN|2|1|4|1|SENACVS PRSB HIC IACIT CVM MVLTITVDNEM FRATRVM|n/a
ADARN|2|1|5|1|SENACVS PR[E]SB[YTER] HIC IACIT CVM MVLTITVD[I]NEM FRATRVM|Senacus(PN) the Priest lies here with the multitude of the brethren.
