word,wikidata,type,translation,ref,variants,context
CUNA,Q67382235,Q67382150,"dog, hound","McManus 1991,§6.3",[CUNA|CUNO|CONU|CVNO|CUNAS|CONAS|CONA|CON|CVNI],{subString}
CATTU,Q67383338,Q67382150,"battle","McManus 1991,§6.3",[CATTU|CATU|CATA|CAT|CATTOS|CATOS|CCATTO|CATTO|CCATO|CATI],{subString}
BARR,,Q67382150,"top, head, hear of the head","McManus 1991,§6.4",[BARR|BAR],{subString}
DOV,,Q67382150,"black","McManus 1991,§6.4",[DOV],{subString}
GLAS,,Q67382150,"light green","McManus 1991,§6.4",[GLAS],{subString}
MAGL,,Q67382150,"prince","McManus 1991,§6.4",[MAGL|MAGLI],{subString}
VIR,,Q67382150,"man","McManus 1991,§6.4",[VIR|VER],{subString}
LUG,Q67383482,Q67382150,god,"McManus 1991,§6.5",[LUG],{subString}
ERC,Q67382360,Q67382150,"god","McManus 1991,§6.5",[ERC|ERCA],{subString}
RITTA,,Q67382150,"god","McManus 1991,§6.5",[RITTA|RETA|RITTE],{subString}
BRAN,,Q67382150,"raven","McManus 1991,§6.6",[BRAN],{subString}
QENN,,Q67382150,"head","McManus 1991,§6.6",[QENN|QVEN|QEN|QENI],{subString}
IVA,,Q67382150,"tree, yew tree","McManus 1991,§6.6",[IVA|IVO],{subString}
TREN,,Q67382150,"strong","McManus 1991,§6.6",[TREN|TTREN],{subString}
ANM,Q68000035,Q67381377,"name","McManus 1991,§6.27",[ANM],
AVI,Q68000199,Q67381377,"grandson, descendant","McManus 1991,§6.27",[AVI],
CELI,Q68000377,Q67381377,"companions, client, fellow","McManus 1991,§6.27",[CELI],
INIGENA,,Q67381377,"daughter","McManus 1991,§6.27",[INIGENA|INGENVI],
KOI,Q68000462,Q67381377,"here","McManus 1991,§6.27",[KOI],
MAQI,Q67381254,Q67381377,"son","McManus 1991,§6.27",[MAQI|MAQQI|MAQ|MAC|MACI|MACCI|MACV],[Person] MAQI [Person]
MEMOR,,Q67381377,"memorial, tombstone","McManus 1991,§6.27",[MEMOR],
MUCOI,Q67999759,Q67381377,"túath, tribe","McManus 1991,§6.27",[MUCOI|MOCU|MACCU|MOCOI|MOCO],
NIOTA,,Q67381377,"nephew, sister`s son","McManus 1991,§6.27",[NIOTA|NETTA|NETA],
DOVALESCI,,Q79401991,"(he who is) black and sliggish","McManus 1991,§6.10",[DOVALESCI],{string}
GATTEGLAN,,Q79401991,"(he who is) wise and pure","McManus 1991,§6.10",[GATTEGLAN],{string}
DERCMASOC,Q68001907,Q79401991,"(he who has) an elegant /filthy eye","McManus 1991,§6.10",[DERCMASOC],{string}
CUNAMAGLI,,Q79401991,"prince of wolves","McManus 1991,§6.10",[CUNAMAGLI],{string}
CUNANETAS,,Q79401991,"champion of the wolves","McManus 1991,§6.10",[CUNANETAS|CUNNETAS],{string}
CATABAR,,Q79401991,"head (`chief`) of battle","McManus 1991,§6.10",[CATABAR],{string}
CATTUVVIRR,,Q79401991,"man of battle","McManus 1991,§6.10",[CATTUVVIRR],{string}
CVNORIX,,Q79401991,"king of wolves","McManus 1991,§6.10",[CVNORIX],{string}
CUNAGUSSOS,,Q79401991,"(he who has) the strengh of a wolf","McManus 1991,§6.10",[CUNAGUSSOS],{string}
VERGOSO,,Q79401991,"(he who has) the strengh of a man","McManus 1991,§6.10",[VERGOSO],{string}
VENDVBARI,,Q79401991,"(he who has) a fair head of hear","McManus 1991,§6.10",[VENDVBARI],{string}
INEQAGLAS,,Q79401991,"having a grey face","McManus 1991,§6.10",[INEQAGLAS],{string}
BARRIVENDI,,Q79401991,"(he who has) a  a fair head of hear","McManus 1991,§6.10",[BARRIVENDI],{string}
ACTO,,Q79401991,"drives","McManus 1991,§6.11",[ACTO],{string}
ALATTOS,,Q79401991,"wild","McManus 1991,§6.11",[ALATTOS|ALATTO],{string}
BAIT,,Q79401991,"foolish","McManus 1991,§6.11",[BAIT],{string}
BARI,,Q79401991,"top, head","McManus 1991,§6.11",[BARI],{string}
BIR,,Q79401991,"short heared","McManus 1991,§6.11",[BIR],{string}
BROCI,,Q79401991,"badger","McManus 1991,§6.11",[BROCI|BROCC],{string}
BRUSCCOS,,Q79401991,"thunder","McManus 1991,§6.11",[BRUSCCOS|BRUSCO],{string}
CARI,,Q79401991,"loves","McManus 1991,§6.11",[CARI],{string}
CORBBI,,Q79401991,"defiles","McManus 1991,§6.11",[CORBBI],{string}
CORRE,,Q79401991,"heron","McManus 1991,§6.11",[CORRE],{string}
CURCI,,Q79401991,"heart or reddens, burns","McManus 1991,§6.11",[CURCI],{string}
DALI,,Q79401991,"blind","McManus 1991,§6.11",[DALI|DALA],{string}
DEGOS,,Q79401991,"flame,blaze","McManus 1991,§6.11",[DEGOS|DEGO],{string}
DOMMO,,Q79401991,"Domma","McManus 1991,§6.11",[DOMMO],{string}
DRUGNO,,Q79401991,"dróna","McManus 1991,§6.11",[DRUGNO|DROGNO],{string}
ERC,,Q79401991,"heaven,cow","McManus 1991,§6.11",[ERC],{string}
IARNI,,Q79401991,"iron","McManus 1991,§6.11",[IARNI],{string}
MEDVVI,,Q79401991,"mead","McManus 1991,§6.11",[MEDVVI],{string}
RODDOS,,Q79401991,"red,Ríata","McManus 1991,§6.11",[RODDOS|REDDOS],{string}
TRENU,,Q79401991,"strong/Trian","McManus 1991,§6.11",[TRENU],{string}
TIGIRIN,,Q79401991,"lord","McManus 1991,§6.11",[TIGIRIN],{string}
VORGOS,,Q79401991,"Forgo","McManus 1991,§6.11",[VORGOS],{string}
VRAICCI,,Q79401991,"heather","McManus 1991,§6.11",[VRAICCI],{string}
BAIDAGNI,,Q79401991,"Báetán","McManus 1991,§6.12",[BAIDAGNI],{string}
BARANAN,,Q79401991,"raven","McManus 1991,§6.12",[BARANAN],{string}
BROCAGNI,,Q79401991,"badger","McManus 1991,§6.12",[BROCAGNI|BROCANN|BROCAGNI],{string}
CERANI,,Q79401991,"dark","McManus 1991,§6.12",[CERANI|CERAN],{string}
COIMAGNI,,Q79401991,"dear,precious","McManus 1991,§6.12",[COIMAGNI],{string}
COLOMAGNI,,Q79401991,"dove","McManus 1991,§6.12",[COLOMAGNI],{string}
COMMAGGAGNI,,Q79401991,"leads","McManus 1991,§6.12",[COMMAGGAGNI|COMMOGAN],{string}
CONANN,,Q79401991,"hound,wolf","McManus 1991,§6.12",[CONANN],{string}
CORBAGNI,,Q79401991,"defiles","McManus 1991,§6.12",[CORBAGNI],{string}
COVAGNI,,Q79401991,"brown","McManus 1991,§6.12",[COVAGNI|CRONAN|CRONN],{string}
CVRCAGNI,,Q79401991,"heart/burns","McManus 1991,§6.12",[CVRCAGNI],{string}
DALAGNI,Q68001812,Q79401991,"blind","McManus 1991,§6.12",[DAIMAGNI|DALAGNI],{string}
